Type,Condition,Primary_secondary_type,Code,MedCode,Term,Description,Source
Biomarker,,Primary care,246..00,,O/E - blood pressure reading,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,246..11,,O/E - BP reading,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,246..12,,O/E - blood pressure,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,2460,,O/E - BP unrecordable,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,2461,,O/E - BP reading very low,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,2462,,O/E - BP reading low,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,2463,,O/E - BP borderline low,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,2464,,O/E - BP reading normal,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,2465,,O/E - BP borderline raised,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,2466,,O/E - BP reading raised,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,2467,,O/E - BP reading very high,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,2468,,O/E - BP reading:postural drop,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,2469,,O/E - Systolic BP reading,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,246A.00,,O/E - Diastolic BP reading,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,246B.00,,O/E - BP stable,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,246C.00,,Lying blood pressure reading,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,246D.00,,Standing blood pressure reading,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,246E.00,,Sitting blood pressure reading,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,246F.00,,O/E - blood pressure decreased,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,246G.00,,O/E - BP labile,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,246J.00,,O/E - BP reading: no postural drop,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,246N.00,,Standing systolic blood pressure,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,246P.00,,Standing diastolic blood pressure,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,246Q.00,,Sitting systolic blood pressure,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,246R.00,,Sitting diastolic blood pressure,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,246S.00,,Lying systolic blood pressure,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,246T.00,,Lying diastolic blood pressure,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,246Z.00,,O/E-blood pressure reading NOS,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,6623,,Pre-treatment BP reading,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,662B.00,,O/E - initial high BP,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,662C.00,,O/E - check high BP,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,662Q.00,,Borderline blood pressure,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,662V.00,,Blood pressure monitoring,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,68B1.00,,Hypertension screen,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,9OD..11,,BP screen administration,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,9OD..12,,Blood pressure screen admin,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,9OD1.00,,BP screen - 1st call,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,9OD2.00,,BP screen - 2nd call,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,9OD3.00,,BP screen - 3rd call,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,9OD5.00,,BP screen - 1st recall,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,9OD6.00,,BP screen - 2nd recall,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,9OD7.00,,BP screen - 3rd recall,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,9OD9.00,,BP ABNORMAL - 1st recall,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,9ODA.00,,BP ABNORMAL - 2nd recall,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,9ODB.00,,BP ABNORMAL - 3rd recall,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,G2...11,,BP - hypertensive disease,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,G20..11,,High blood pressure,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,R1y2.00,,[D]Raised blood pressure reading,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
Biomarker,,Primary care,R1y3.00,,[D]Low blood pressure reading,Ordinary blood pressure measurement,https://portal.caliberresearch.org/disease-or-syndrome
